source,type,bp_length,phase,gene_id,gene_type,gene_name,level,havana_gene,tag
ENSEMBL,gene,2237,NA,ENSG00000278704.1,protein_coding,BX004987.1,3,NA,NA
ENSEMBL,gene,2179,NA,ENSG00000277400.1,protein_coding,AC145212.2,3,NA,NA
ENSEMBL,gene,1599,NA,ENSG00000274847.1,protein_coding,AC145212.1,3,NA,NA
ENSEMBL,gene,2195,NA,ENSG00000276256.1,protein_coding,AC011043.1,3,NA,NA
ENSEMBL,gene,1468,NA,ENSG00000278198.1,protein_coding,AC011043.2,3,NA,NA
ENSEMBL,gene,1468,NA,ENSG00000273496.1,protein_coding,AC011841.1,3,NA,NA
HAVANA,gene,1035,NA,ENSG00000273735.4,protein_coding,KIR3DL2,2,OTTHUMG00000189013.2,NA
HAVANA,gene,1101,NA,ENSG00000273517.1,protein_coding,KIR2DS1,2,OTTHUMG00000188995.1,NA
HAVANA,gene,1455,NA,ENSG00000277650.1,protein_coding,KIR2DS5,2,OTTHUMG00000188996.1,NA
HAVANA,gene,1596,NA,ENSG00000274676.1,protein_coding,KIR2DL5A,2,OTTHUMG00000188997.1,NA
HAVANA,gene,1541,NA,ENSG00000276534.5,protein_coding,KIR3DS1,2,OTTHUMG00000188998.1,NA
HAVANA,gene,1742,NA,ENSG00000274193.4,protein_coding,KIR2DL4,2,OTTHUMG00000188999.1,NA
HAVANA,gene,1294,NA,ENSG00000276518.1,protein_coding,KIR3DP1,2,OTTHUMG00000189000.1,NA
HAVANA,gene,1371,NA,ENSG00000273661.5,protein_coding,KIR2DL2,2,OTTHUMG00000189001.1,NA
HAVANA,gene,2030,NA,ENSG00000278152.2,protein_coding,KIR2DS2,2,OTTHUMG00000189002.1,NA
HAVANA,gene,1238,NA,ENSG00000276433.1,protein_coding,KIR3DL3,2,OTTHUMG00000189003.2,NA
ENSEMBL,gene,2637,NA,ENSG00000277630.4,protein_coding,BX072566.1,3,NA,ncRNA_host
ENSEMBL,gene,3027,NA,ENSG00000278384.1,protein_coding,AL354822.1,3,NA,NA
ENSEMBL,gene,372,NA,ENSG00000273748.1,protein_coding,AL592183.1,3,NA,NA
HAVANA,gene,7987,NA,ENSG00000234495.7,protein_coding,TRIM27,2,OTTHUMG00000148849.1,NA
HAVANA,gene,3176,NA,ENSG00000225351.4,protein_coding,ZNF311,2,OTTHUMG00000148791.1,NA
HAVANA,gene,1028,NA,ENSG00000226463.1,protein_coding,OR2W1,2,OTTHUMG00000148790.3,NA
HAVANA,gene,1007,NA,ENSG00000233054.3,protein_coding,OR2B3,2,OTTHUMG00000148792.3,NA
HAVANA,gene,936,NA,ENSG00000226271.1,protein_coding,OR2J3,2,OTTHUMG00000148696.2,NA
HAVANA,gene,1272,NA,ENSG00000225550.4,protein_coding,OR2J2,2,OTTHUMG00000148699.3,NA
HAVANA,gene,966,NA,ENSG00000236927.4,protein_coding,OR14J1,2,OTTHUMG00000148700.2,NA
HAVANA,gene,1672,NA,ENSG00000230505.4,protein_coding,OR10C1,2,OTTHUMG00000148710.3,NA
HAVANA,gene,2864,NA,ENSG00000232289.8,protein_coding,OR11A1,2,OTTHUMG00000148704.1,overlapping_locus
HAVANA,gene,3708,NA,ENSG00000229125.8,protein_coding,OR2H1,2,OTTHUMG00000148708.1,NA
HAVANA,gene,1137,NA,ENSG00000234954.3,protein_coding,MAS1L,2,OTTHUMG00000148707.2,NA
HAVANA,gene,990,NA,ENSG00000226898.2,protein_coding,UBD,2,OTTHUMG00000148765.1,overlapping_locus
HAVANA,gene,1584,NA,ENSG00000224319.4,protein_coding,OR2H2,2,OTTHUMG00000148762.1,NA
HAVANA,gene,7010,NA,ENSG00000232569.8,protein_coding,GABBR1,2,OTTHUMG00000148761.2,overlapping_locus
HAVANA,gene,3058,NA,ENSG00000234096.9,protein_coding,MOG,2,OTTHUMG00000148766.2,NA
HAVANA,gene,651,NA,ENSG00000227858.1,protein_coding,ZFP57,2,OTTHUMG00000148768.2,NA
HAVANA,gene,1836,NA,ENSG00000276051.4,protein_coding,HLA-G,2,OTTHUMG00000148844.3,NA
HAVANA,gene,7498,NA,ENSG00000229215.9,protein_coding,HLA-A,2,OTTHUMG00000148721.2,NA
HAVANA,gene,3672,NA,ENSG00000235443.6,protein_coding,ZNRD1,2,OTTHUMG00000148781.1,ncRNA_host
HAVANA,gene,2538,NA,ENSG00000233314.6,protein_coding,PPP1R11,2,OTTHUMG00000148778.2,NA
HAVANA,gene,2206,NA,ENSG00000236967.8,protein_coding,RNF39,2,OTTHUMG00000148776.1,NA
HAVANA,gene,1409,NA,ENSG00000224542.7,protein_coding,TRIM31,2,OTTHUMG00000148779.3,NA
HAVANA,gene,2477,NA,ENSG00000224496.7,protein_coding,TRIM40,2,OTTHUMG00000148777.2,NA
HAVANA,gene,3546,NA,ENSG00000237703.8,protein_coding,TRIM10,2,OTTHUMG00000148780.1,NA
HAVANA,gene,2515,NA,ENSG00000235259.8,protein_coding,TRIM15,2,OTTHUMG00000148737.2,NA
HAVANA,gene,4377,NA,ENSG00000228881.7,protein_coding,TRIM26,2,OTTHUMG00000148847.3,overlapping_locus
HAVANA,gene,4226,NA,ENSG00000230308.10,protein_coding,TRIM39,2,OTTHUMG00000148747.2,NA
HAVANA,gene,2717,NA,ENSG00000241779.6,protein_coding,RPP21,2,OTTHUMG00000148741.1,NA
HAVANA,gene,6707,NA,ENSG00000206412.6,protein_coding,GNL1,2,OTTHUMG00000148795.3,NA
HAVANA,gene,2766,NA,ENSG00000227222.7,protein_coding,DHX16,2,OTTHUMG00000148755.3,NA
HAVANA,gene,4599,NA,ENSG00000230341.8,protein_coding,PPP1R18,2,OTTHUMG00000148752.1,NA
HAVANA,gene,2045,NA,ENSG00000228854.8,protein_coding,NRM,2,OTTHUMG00000148758.1,NA
HAVANA,gene,8064,NA,ENSG00000234012.9,protein_coding,MDC1,2,OTTHUMG00000148757.2,NA
HAVANA,gene,3359,NA,ENSG00000224156.10,protein_coding,TUBB,2,OTTHUMG00000148754.1,NA
HAVANA,gene,678,NA,ENSG00000223654.3,protein_coding,FLOT1,2,OTTHUMG00000148753.2,NA
HAVANA,gene,945,NA,ENSG00000229767.9,protein_coding,DDR1,2,OTTHUMG00000148751.3,NA
HAVANA,gene,3793,NA,ENSG00000231350.5,protein_coding,MUC21,2,OTTHUMG00000148759.1,NA
HAVANA,gene,2798,NA,ENSG00000231179.9,protein_coding,MICB,2,OTTHUMG00000148774.1,NA
HAVANA,gene,955,NA,ENSG00000225228.2,protein_coding,MCCD1,2,OTTHUMG00000148772.1,NA
HAVANA,gene,4790,NA,ENSG00000237889.11,protein_coding,DDX39B,2,OTTHUMG00000148789.4,ncRNA_host
HAVANA,gene,1315,NA,ENSG00000228978.2,protein_coding,TNF,2,OTTHUMG00000148782.2,NA
HAVANA,gene,926,NA,ENSG00000231314.7,protein_coding,LTB,2,OTTHUMG00000148787.1,NA
HAVANA,gene,2294,NA,ENSG00000235915.8,protein_coding,LST1,2,OTTHUMG00000148785.2,NA
HAVANA,gene,1212,NA,ENSG00000236315.6,protein_coding,NCR3,2,OTTHUMG00000148786.2,NA
HAVANA,gene,3250,NA,ENSG00000233345.9,protein_coding,MSH5,2,OTTHUMG00000148848.5,overlapping_locus
HAVANA,gene,1557,NA,ENSG00000227861.9,protein_coding,SAPCD1,2,OTTHUMG00000148796.1,overlapping_locus
HAVANA,gene,3019,NA,ENSG00000264619.6,protein_coding,MSH5-SAPCD1,2,OTTHUMG00000179491.2,overlapping_locus
HAVANA,gene,3638,NA,ENSG00000238203.8,protein_coding,VWA7,2,OTTHUMG00000148784.1,NA
HAVANA,gene,6081,NA,ENSG00000231116.9,protein_coding,VARS,2,OTTHUMG00000148788.3,ncRNA_host
HAVANA,gene,1119,NA,ENSG00000224979.6,protein_coding,LSM2,2,OTTHUMG00000148799.1,NA
HAVANA,gene,2544,NA,ENSG00000226704.6,protein_coding,HSPA1L,2,OTTHUMG00000148803.1,NA
HAVANA,gene,2483,NA,ENSG00000235941.5,protein_coding,HSPA1A,2,OTTHUMG00000148802.1,NA
HAVANA,gene,2515,NA,ENSG00000232804.5,protein_coding,HSPA1B,2,OTTHUMG00000148800.2,NA
HAVANA,gene,1803,NA,ENSG00000234728.9,protein_coding,C6orf48,2,OTTHUMG00000148798.2,ncRNA_host
HAVANA,gene,4822,NA,ENSG00000228691.6,protein_coding,NEU1,2,OTTHUMG00000148801.2,NA
HAVANA,gene,3369,NA,ENSG00000235336.8,protein_coding,SLC44A4,2,OTTHUMG00000148804.1,NA
HAVANA,gene,7289,NA,ENSG00000232045.7,protein_coding,EHMT2,2,OTTHUMG00000148806.2,NA
HAVANA,gene,1902,NA,ENSG00000229341.2,protein_coding,TNXB,2,OTTHUMG00000148845.3,ncRNA_host
HAVANA,gene,4261,NA,ENSG00000238056.9,protein_coding,PRRT1,2,OTTHUMG00000148807.2,NA
HAVANA,gene,2622,NA,ENSG00000240389.5,protein_coding,EGFL8,2,OTTHUMG00000148809.4,overlapping_locus
